Incorrect Meme,Wrong Answer,Correct Answer,Explanation
"6 ÷ 2(1+2)",1,9,"PEMDAS: (1+2) = 3, then 6 ÷ 2 × 3 = 3 × 3 = 9, left-to-right."
"8 ÷ 2(2+2)",1,16,"PEMDAS: (2+2) = 4, then 8 ÷ 2 × 4 = 4 × 4 = 16."
"5 + 3 × 2",16,11,"PEMDAS: 3 × 2 = 6, then 5 + 6 = 11. Multiply first."
"2³",6,8,"Exponents mean 2 × 2 × 2 = 8, not 2 × 3."
"1/2 + 1/2",0.25,1,"Add numerators: 1+1 = 2, keep denominator 2, so 2/2 = 1."
"9 - 3 ÷ 1/3",0,0,"3 ÷ 1/3 = 9, then 9 - 9 = 0. Division by fraction flips it."
"4 + 2²",36,8,"PEMDAS: 2² = 4, then 4 + 4 = 8. Exponents first."
"10 ÷ 5 × 2",1,4,"PEMDAS: 10 ÷ 5 = 2, then 2 × 2 = 4, left-to-right."
"3 + 4 × 5",35,23,"PEMDAS: 4 × 5 = 20, then 3 + 20 = 23."
"5²",10,25,"5² = 5 × 5 = 25, not 5 × 2."
"6 ÷ 3 + 1",3,3,"6 ÷ 3 = 2, then 2 + 1 = 3. Division first."
"2 + 2 × 2",8,6,"PEMDAS: 2 × 2 = 4, then 2 + 4 = 6."
"1/3 + 1/3",0.333,0.667,"1/3 + 1/3 = 2/3 ≈ 0.667, not 2/6 without simplifying."
"7 - 2 × 3",15,1,"PEMDAS: 2 × 3 = 6, then 7 - 6 = 1."
"4 ÷ 2 + 2",3,4,"PEMDAS: 4 ÷ 2 = 2, then 2 + 2 = 4."
"3² + 1",10,10,"3² = 9, then 9 + 1 = 10. Exponents first."
"8 ÷ 4 × 2",1,4,"PEMDAS: 8 ÷ 4 = 2, then 2 × 2 = 4, left-to-right."
"5 × 2 - 3",13,7,"PEMDAS: 5 × 2 = 10, then 10 - 3 = 7."
"1 + 1 ÷ 2",1,1.5,"PEMDAS: 1 ÷ 2 = 0.5, then 1 + 0.5 = 1.5."
"9 ÷ 3(3)",1,9,"PEMDAS: 9 ÷ 3 × 3 = 3 × 3 = 9, left-to-right."
